#*OUTPUT EVTP
#*EVENT NRS IN MEASUREMENT OF TPRIME DISTRIBUTION
#  0.10000E+07     ULUMI (1/NB)
#            2     IPN
#  2002.442000     SED
#     0.100000     X
#     0.020000     XBIN
#    17.500000     QQ
#     5.000000     QQBIN
#     1.000000     ALR
#     0.020000     ALRBIN
#     0.005000     TPBIN
#          200     NBIN
#    -0.004167     TP0 -- TMPMIN(ABS)
#    -0.004169     TP1 -- TMPMIN(ALR)
#     0.029265     RES
#     0.458118     F2N
#*
#*COL1  TP     TPRIME (GEV**2)
#*COL2  PR2    SQUARED RECOIL 3-MOM RF (GEV**2)
#*COL3  PTR    RECOIL TRANSVERSE MOMENTUM (GEV)
#*COL4  FSIG   TAGGED DIFF CROSS SECN (NB/GEV**4)
#*COL5  UNUM   EVENT NUMBER IN BIN
#*COL6  F2/SPOL   TAGGED F2/POLE FACTOR
  0.0100 0.2917E-02 0.5394E-01 0.2872E+01 0.1317E+05 0.4027E+00
  0.0150 0.5417E-02 0.7349E-01 0.2702E+01 0.5498E+04 0.3789E+00
  0.0200 0.7917E-02 0.8882E-01 0.2548E+01 0.2911E+04 0.3572E+00
  0.0250 0.1042E-01 0.1018E+00 0.2406E+01 0.1758E+04 0.3374E+00
  0.0300 0.1292E-01 0.1134E+00 0.2277E+01 0.1153E+04 0.3193E+00
  0.0350 0.1542E-01 0.1238E+00 0.2159E+01 0.8021E+03 0.3027E+00
  0.0400 0.1792E-01 0.1334E+00 0.2049E+01 0.5823E+03 0.2874E+00
  0.0450 0.2042E-01 0.1424E+00 0.1949E+01 0.4368E+03 0.2733E+00
  0.0500 0.2292E-01 0.1508E+00 0.1856E+01 0.3365E+03 0.2602E+00
  0.0550 0.2542E-01 0.1588E+00 0.1769E+01 0.2648E+03 0.2481E+00
  0.0600 0.2792E-01 0.1663E+00 0.1689E+01 0.2121E+03 0.2369E+00
  0.0650 0.3042E-01 0.1736E+00 0.1615E+01 0.1726E+03 0.2265E+00
  0.0700 0.3292E-01 0.1805E+00 0.1546E+01 0.1422E+03 0.2167E+00
  0.0750 0.3542E-01 0.1872E+00 0.1481E+01 0.1185E+03 0.2077E+00
  0.0800 0.3792E-01 0.1936E+00 0.1420E+01 0.9979E+02 0.1992E+00
  0.0850 0.4042E-01 0.1998E+00 0.1364E+01 0.8475E+02 0.1912E+00
  0.0900 0.4292E-01 0.2058E+00 0.1311E+01 0.7255E+02 0.1838E+00
  0.0950 0.4542E-01 0.2116E+00 0.1261E+01 0.6256E+02 0.1768E+00
  0.1000 0.4792E-01 0.2173E+00 0.1214E+01 0.5428E+02 0.1702E+00
  0.1050 0.5042E-01 0.2228E+00 0.1170E+01 0.4738E+02 0.1640E+00
  0.1100 0.5292E-01 0.2282E+00 0.1128E+01 0.4158E+02 0.1582E+00
  0.1150 0.5542E-01 0.2335E+00 0.1089E+01 0.3667E+02 0.1527E+00
  0.1200 0.5792E-01 0.2386E+00 0.1052E+01 0.3249E+02 0.1475E+00
  0.1250 0.6042E-01 0.2436E+00 0.1017E+01 0.2890E+02 0.1426E+00
  0.1300 0.6292E-01 0.2485E+00 0.9833E+00 0.2581E+02 0.1379E+00
  0.1350 0.6542E-01 0.2533E+00 0.9518E+00 0.2314E+02 0.1335E+00
  0.1400 0.6792E-01 0.2580E+00 0.9219E+00 0.2081E+02 0.1293E+00
  0.1450 0.7042E-01 0.2626E+00 0.8934E+00 0.1878E+02 0.1253E+00
