#*OUTPUT EVTP
#*EVENT NRS IN MEASUREMENT OF TPRIME DISTRIBUTION
#  0.10000E+07     ULUMI (1/NB)
#            2     IPN
#  2002.442000     SED
#     0.030000     X
#     0.020000     XBIN
#    17.500000     QQ
#     5.000000     QQBIN
#     1.000000     ALR
#     0.020000     ALRBIN
#     0.005000     TPBIN
#          200     NBIN
#    -0.004167     TP0 -- TMPMIN(ABS)
#    -0.004169     TP1 -- TMPMIN(ALR)
#     0.029265     RES
#     0.538458     F2N
#*
#*COL1  TP     TPRIME (GEV**2)
#*COL2  PR2    SQUARED RECOIL 3-MOM RF (GEV**2)
#*COL3  PTR    RECOIL TRANSVERSE MOMENTUM (GEV)
#*COL4  FSIG   TAGGED DIFF CROSS SECN (NB/GEV**4)
#*COL5  UNUM   EVENT NUMBER IN BIN
#*COL6  F2/SPOL   TAGGED F2/POLE FACTOR
 -0.0050 0.4167E-03 0.2037E-01 0.9814E+04 0.1539E+06 0.5042E+00
 -0.0100 0.2917E-02 0.5394E-01 0.2304E+04 0.3608E+05 0.4734E+00
 -0.0150 0.5417E-02 0.7349E-01 0.9633E+03 0.1507E+05 0.4454E+00
 -0.0200 0.7917E-02 0.8882E-01 0.5108E+03 0.7979E+04 0.4199E+00
 -0.0250 0.1042E-01 0.1018E+00 0.3088E+03 0.4817E+04 0.3966E+00
 -0.0300 0.1292E-01 0.1134E+00 0.2029E+03 0.3161E+04 0.3753E+00
 -0.0350 0.1542E-01 0.1238E+00 0.1413E+03 0.2198E+04 0.3558E+00
 -0.0400 0.1792E-01 0.1334E+00 0.1027E+03 0.1596E+04 0.3378E+00
 -0.0450 0.2042E-01 0.1424E+00 0.7719E+02 0.1197E+04 0.3212E+00
 -0.0500 0.2292E-01 0.1508E+00 0.5953E+02 0.9221E+03 0.3058E+00
 -0.0550 0.2542E-01 0.1588E+00 0.4692E+02 0.7257E+03 0.2916E+00
 -0.0600 0.2792E-01 0.1663E+00 0.3764E+02 0.5814E+03 0.2784E+00
 -0.0650 0.3042E-01 0.1736E+00 0.3066E+02 0.4729E+03 0.2662E+00
 -0.0700 0.3292E-01 0.1805E+00 0.2530E+02 0.3897E+03 0.2548E+00
 -0.0750 0.3542E-01 0.1872E+00 0.2112E+02 0.3248E+03 0.2441E+00
 -0.0800 0.3792E-01 0.1936E+00 0.1780E+02 0.2735E+03 0.2341E+00
 -0.0850 0.4042E-01 0.1998E+00 0.1514E+02 0.2323E+03 0.2248E+00
 -0.0900 0.4292E-01 0.2058E+00 0.1298E+02 0.1988E+03 0.2160E+00
 -0.0950 0.4542E-01 0.2116E+00 0.1121E+02 0.1714E+03 0.2078E+00
 -0.1000 0.4792E-01 0.2173E+00 0.9736E+01 0.1488E+03 0.2001E+00
 -0.1050 0.5042E-01 0.2228E+00 0.8510E+01 0.1299E+03 0.1928E+00
